2026-09-08 12:27:28 - INFO | 
2026-09-08 12:27:28 - INFO | -------------- START BIDSmapper ------------
2026-09-08 12:27:28 - INFO | >>> bidsmapper sourcefolder=/home/ts/develop/sub-01/raw bidsfolder=/home/ts/develop/sub-01/bids bidsmap=bidsmap.yaml template=/home/ts/.bidscoin/4.6.2/templates/bidsmap_dccn.yaml plugins=[] subprefix=None sesprefix=None store=False force=False
2026-09-08 12:27:28 - INFO | No bidsmap file found: /home/ts/develop/sub-01/bids/code/bidscoin/bidsmap.yaml
2026-09-08 12:27:28 - INFO | Reading: /home/ts/.bidscoin/4.6.2/templates/bidsmap_dccn.yaml
2026-09-08 12:27:28 - INFO | Checking the bidsmap run-items:
2026-09-08 12:27:28 - VERBOSE | Could not validate every run-item in the bidsmap
2026-09-08 12:27:28 - VERBOSE | Checking the template bidsmap datatypes:
2026-09-08 12:27:28 - SUCCESS | All datatypes and options in the template bidsmap are valid
2026-09-08 12:27:28 - INFO | Mapping: /home/ts/develop/sub-01/raw/sub-01 (subject 1/1)
2026-09-08 12:27:28 - INFO | Detected a flat data-structure in: /home/ts/develop/sub-01/raw/sub-01
2026-09-08 12:27:28 - INFO | Making temporary copy: /home/ts/develop/sub-01/raw/sub-01 -> /tmp/tmp1iayumy3/home/ts/develop/sub-01/raw/sub-01
2026-09-08 12:27:28 - INFO | >> Sorting: /tmp/tmp1iayumy3/home/ts/develop/sub-01/raw/sub-01 (1035 files)
2026-09-08 12:27:28 - VERBOSE | [0%]   Creating:  /tmp/tmp1iayumy3/home/ts/develop/sub-01/raw/sub-01/006-ep2d_diff_2mm
2026-09-08 12:27:28 - VERBOSE | [0%]   Creating:  /tmp/tmp1iayumy3/home/ts/develop/sub-01/raw/sub-01/004-T2w_TSE_1mm_iPAT_3D
2026-09-08 12:27:28 - VERBOSE | [0%]   Creating:  /tmp/tmp1iayumy3/home/ts/develop/sub-01/raw/sub-01/003-T2w_TSE_1mm
2026-09-08 12:27:28 - VERBOSE | [0%]   Creating:  /tmp/tmp1iayumy3/home/ts/develop/sub-01/raw/sub-01/007-ep2d_diff_2mm_ADC
2026-09-08 12:27:28 - VERBOSE | [0%]   Creating:  /tmp/tmp1iayumy3/home/ts/develop/sub-01/raw/sub-01/002-T1w_MPRAGE_1mm
